frame_index,hand_index,fingertip_id,x,y
19,0,20,324.11964148283005,161.2377166748047
19,1,4,668.4686726331711,189.8317039012909
19,1,8,706.5921860933304,131.13148510456085
19,1,12,727.9415202140808,121.38719111680984
19,1,16,753.6421018838882,124.96683746576309
19,1,20,780.5019056797028,147.26026356220245
20,0,4,499.4691362977028,174.82870817184448
20,0,8,432.1958327293396,92.10808575153351
20,0,12,376.2187796831131,95.97419947385788
20,0,16,344.7195968031883,117.21967160701752
20,0,20,323.85227158665657,160.56808829307556
20,1,4,668.23067933321,189.57361578941345
20,1,8,706.9739389419556,131.66150450706482
20,1,12,727.8856658935547,121.04678153991699
20,1,16,753.2709646224976,124.26851689815521
20,1,20,780.4259634017944,147.15005457401276
21,0,4,499.6876949071884,175.92753469944
21,0,8,432.00801849365234,92.92595088481903
21,0,12,374.52922731637955,95.19627690315247
21,0,16,344.49250489473343,116.68386310338974
21,0,20,323.67429718375206,160.2647751569748
21,1,4,667.8014829754829,188.82349133491516
21,1,8,706.7705279588699,131.3038319349289
21,1,12,727.6028829813004,121.23730033636093
21,1,16,752.3982816934586,124.57362562417984
21,1,20,780.3514093160629,147.15375006198883
22,0,4,499.43365573883057,176.06553435325623
22,0,8,431.2861993908882,92.27780252695084
22,0,12,373.89960050582886,94.39785033464432
22,0,16,344.6007838845253,115.55282026529312
22,0,20,322.3749493062496,160.43443977832794
22,1,4,668.0844700336456,188.1168633699417
22,1,8,707.0051324367523,130.94757497310638
22,1,12,727.9688757658005,121.02432548999786
22,1,16,752.2689348459244,124.1651102900505
22,1,20,780.349286198616,147.98299968242645
23,0,4,498.8057029247284,176.3513684272766
23,0,8,431.26010954380035,91.10510349273682
23,0,12,375.33143907785416,93.18283945322037
23,0,16,344.21727538108826,114.39795792102814
23,0,20,322.0023013651371,158.13982486724854
23,1,4,668.1285655498505,186.997652053833
23,1,8,706.8490833044052,130.6794434785843
23,1,12,728.445433974266,121.28901481628418
23,1,16,752.8270697593689,125.04982948303223
23,1,20,780.4972511529922,147.60194718837738
24,0,4,497.84903436899185,176.27114057540894
24,0,8,430.563522875309,90.77484905719757
24,0,12,374.85271692276,91.0310447216034
24,0,16,343.7159338593483,112.7379834651947
24,0,20,322.2630773484707,156.33156895637512
24,1,4,668.2023030519485,186.8727058172226
24,1,8,707.4035435914993,130.9112161397934
24,1,12,728.4292656183243,121.54489755630493
24,1,16,753.2166618108749,125.20891427993774
24,1,20,780.2718740701675,147.78994023799896
25,0,4,496.58173739910126,177.2359311580658
25,0,8,429.4158145785332,90.32601863145828
25,0,12,373.7828290462494,90.57105332612991
25,0,16,343.5830348730087,112.67002671957016
25,0,20,320.52136570215225,155.6122899055481
25,1,4,669.0606141090393,186.23019754886627
25,1,8,706.9137567281723,130.82285225391388
25,1,12,728.0354273319244,120.59924006462097
25,1,16,753.3549910783768,124.31629747152328
25,1,20,782.1550792455673,147.846058011055
26,0,4,495.430109500885,177.29294300079346
26,0,8,428.41513216495514,90.40945768356323
26,0,12,373.167941570282,90.11141955852509
26,0,16,343.17988753318787,112.17056214809418
26,0,20,319.6319428086281,154.89813685417175
26,1,4,670.1938280463219,186.8297904729843
26,1,8,706.968304514885,132.53171741962433
26,1,12,727.9079586267471,121.83155119419098
26,1,16,753.1630939245224,126.0678619146347
26,1,20,782.8036916255951,147.9431539773941
27,0,4,496.3105499744415,177.62239277362823
27,0,8,427.6432156562805,89.61852639913559
27,0,12,371.6261091828346,88.40058743953705
27,0,16,343.0567467212677,110.56824773550034
27,0,20,320.49439802765846,154.96520698070526
27,1,4,668.7193229794502,187.05585598945618
27,1,8,707.3624694347382,134.11328196525574
27,1,12,729.5829349756241,121.60278111696243
27,1,16,755.5176311731339,126.55319273471832
27,1,20,782.7152556180954,148.10346066951752
28,0,4,495.63886910676956,177.20070481300354
28,0,8,427.0065662264824,88.3435308933258
28,0,12,370.46925514936447,87.17192709445953
28,0,16,343.78179132938385,110.03632098436356
28,0,20,322.30558052659035,154.85377609729767
28,1,4,667.6556819677353,187.715545296669
28,1,8,707.1009176969528,133.66886973381042
28,1,12,728.9366906881332,121.09357118606567
28,1,16,754.6915751695633,127.06656754016876
28,1,20,783.4561419487,148.40318262577057
29,0,4,494.3378472328186,177.47026681900024
29,0,8,426.96332812309265,88.5884240269661
29,0,12,369.7013807296753,85.83628386259079
29,0,16,343.445807993412,109.79433357715607
29,0,20,322.7714414894581,153.94915640354156
29,1,4,667.9490804672241,187.92888522148132
29,1,8,708.1798696517944,132.47548043727875
29,1,12,729.2250263690948,120.71062624454498
29,1,16,754.7865438461304,126.45131349563599
29,1,20,783.9061611890793,148.5871523618698
30,0,4,494.24553245306015,177.66974866390228
30,0,8,426.4574137330055,88.00233155488968
30,0,12,368.42126339673996,86.24637871980667
30,0,16,343.5816875100136,109.21604186296463
30,0,20,322.25995391607285,154.64965999126434
30,1,4,668.9549481868744,187.6843124628067
30,1,8,707.6174885034561,133.60890746116638
30,1,12,728.8897371292114,120.33789604902267
30,1,16,754.378741979599,125.89749693870544
30,1,20,784.2728888988495,148.31247925758362
31,0,4,493.1881383061409,176.93118751049042
31,0,8,426.58896535634995,87.32688426971436
31,0,12,366.6987210512161,85.41926741600037
31,0,16,343.5731542110443,108.96504670381546
31,0,20,321.5320512652397,153.85152399539948
31,1,4,670.0642362236977,186.5716129541397
31,1,8,707.488631606102,132.7434927225113
31,1,12,729.3739712238312,120.54195255041122
31,1,16,755.0602626800537,125.67318975925446
31,1,20,783.8498169183731,148.4607756137848
32,0,4,492.9243817925453,177.56925523281097
32,0,8,427.48259365558624,87.34137564897537
32,0,12,366.421000957489,85.70398390293121
32,0,16,343.5872811079025,109.45103317499161
32,0,20,321.3062046468258,154.3780267238617
32,1,4,672.7510413527489,185.04653871059418
32,1,8,707.2250384092331,135.71366667747498
32,1,12,728.5540395975113,120.66053599119186
32,1,16,754.9126243591309,125.23041665554047
32,1,20,783.6686986684799,147.51307666301727
33,0,4,493.27212393283844,177.94610559940338
33,0,8,427.1329325437546,86.90585196018219
33,0,12,366.64135605096817,85.58546751737595
33,0,16,343.6296617984772,109.86489802598953
33,0,20,322.1590241789818,154.76730465888977
33,1,4,673.8763752579689,183.7921440601349
33,1,8,706.9087755680084,137.23625242710114
33,1,12,728.6678713560104,120.79524993896484
33,1,16,755.0199234485626,124.72674250602722
33,1,20,783.3246719837189,147.3625749349594
34,0,4,492.64474272727966,177.77132987976074
34,0,8,426.9120466709137,87.18515187501907
34,0,12,366.08579337596893,85.23069322109222
34,0,16,343.3876672387123,109.50689762830734
34,0,20,321.6142199933529,154.96748685836792
34,1,4,675.9495177865028,182.25832283496857
34,1,8,705.6847983598709,138.78291845321655
34,1,12,729.3462890386581,120.86047977209091
34,1,16,755.5280017852783,125.20195543766022
34,1,20,783.5884284973145,147.5890725851059
35,0,4,492.93761044740677,177.69785225391388
35,0,8,426.4962422847748,87.53281831741333
35,0,12,366.1004510521889,85.8362689614296
35,0,16,343.38872879743576,110.52321642637253
35,0,20,321.4876087009907,155.50832450389862
35,1,4,677.362370789051,182.56507813930511
35,1,8,706.7577075958252,137.08554208278656
35,1,12,729.8736387491226,120.55665254592896
35,1,16,755.8458977937698,125.55484473705292
35,1,20,783.720715045929,148.0768769979477
36,0,4,492.7928301692009,177.72984504699707
36,0,8,426.6404101252556,87.34526485204697
36,0,12,365.7316818833351,86.01733297109604
36,0,16,343.7337762117386,110.65158993005753
36,0,20,320.4806385934353,154.84975278377533
36,1,4,680.564072728157,182.76704847812653
36,1,8,708.0504411458969,136.72447204589844
36,1,12,730.5537712574005,121.40390276908875
36,1,16,756.7663508653641,124.62199479341507
36,1,20,783.0826365947723,147.12001383304596
37,0,4,493.2494229078293,177.31031775474548
37,0,8,426.3866975903511,88.25415372848511
37,0,12,364.94567930698395,86.93842589855194
37,0,16,343.38338017463684,110.86013168096542
37,0,20,320.3221192955971,154.9750119447708
37,1,4,683.5323542356491,181.17313086986542
37,1,8,710.8799034357071,133.22706520557404
37,1,12,731.6357445716858,122.98668920993805
37,1,16,756.6265517473221,126.89095735549927
37,1,20,783.9344966411591,154.04842793941498
38,0,4,492.9074376821518,177.63575911521912
38,0,8,426.93997383117676,87.98384666442871
38,0,12,364.9572339653969,87.63125538825989
38,0,16,343.3692532777786,110.73654890060425
38,0,20,320.4381762444973,155.36679327487946
38,1,4,681.9770482182503,179.0788322687149
38,1,8,711.4845836162567,133.95395874977112
38,1,12,729.0526455640793,123.77939373254776
38,1,16,756.0800123214722,126.74693763256073
38,1,20,784.3447482585907,157.82879292964935
39,0,4,492.31635361909866,177.7075082063675
39,0,8,426.1535221338272,89.34128284454346
39,0,12,364.23218935728073,88.40464800596237
39,0,16,343.5564959049225,111.1692488193512
39,0,20,319.7806426882744,155.02536296844482
39,1,4,681.9660651683807,177.92852222919464
39,1,8,711.2142944335938,129.72044944763184
39,1,12,729.0880036354065,121.37017399072647
39,1,16,756.4283668994904,125.28592348098755
39,1,20,785.4129213094711,160.78272461891174
40,0,4,492.92691320180893,177.8484433889389
40,0,8,425.68357825279236,89.78893607854843
40,0,12,364.19903606176376,88.50273489952087
40,0,16,343.47728729248047,111.42050474882126
40,0,20,320.2260074019432,155.21158277988434
40,1,4,681.0325875878334,175.12527108192444
40,1,8,712.2182023525238,127.4629682302475
40,1,12,729.1663140058517,121.46470695734024
40,1,16,754.0658271312714,127.31657922267914
40,1,20,782.5393635034561,160.96468269824982
41,0,4,492.90494710206985,177.48484015464783
41,0,8,426.1248192191124,90.46568721532822
41,0,12,364.3712943792343,89.05434608459473
41,0,16,343.54114413261414,110.93032360076904
41,0,20,321.1659564077854,155.01031279563904
41,1,4,680.7518869638443,171.5286821126938
41,1,8,712.8292518854141,127.032071352005
41,1,12,729.8717606067657,121.10783904790878
41,1,16,755.4997479915619,126.59226357936859
41,1,20,783.1041944026947,160.59859097003937
42,0,4,492.3786997795105,177.165225148201
42,0,8,426.73480719327927,89.3389880657196
42,0,12,363.91494661569595,89.95845168828964
42,0,16,343.59222143888474,111.41084134578705
42,0,20,320.6223975121975,155.57153522968292
42,1,4,681.3074496388435,170.83561420440674
42,1,8,713.2277446985245,125.36142766475677
42,1,12,730.0299328565598,120.4797551035881
42,1,16,755.3737491369247,125.16136467456818
42,1,20,783.0267822742462,160.16307473182678
43,0,4,493.04360300302505,177.08295583724976
43,0,8,426.3111636042595,89.80556577444077
43,0,12,363.9751696586609,90.08339047431946
43,0,16,343.9760157465935,111.10565811395645
43,0,20,320.9189806878567,155.26102483272552
43,1,4,680.9775498509407,168.57756674289703
43,1,8,713.7653017044067,124.153271317482
43,1,12,730.0874203443527,120.51189690828323
43,1,16,754.9382650852203,124.26554411649704
43,1,20,783.3412486314774,158.7720811367035
44,0,4,492.4946138262749,177.04926431179047
44,0,8,427.09406316280365,89.39161151647568
44,0,12,363.9680653810501,89.92929756641388
44,0,16,343.67951422929764,110.846146941185
44,0,20,320.83134084939957,155.1799774169922
44,1,4,680.7499271631241,166.86910390853882
44,1,8,714.9949949979782,122.79684096574783
44,1,12,730.3277409076691,121.6646358370781
44,1,16,754.7976493835449,125.02597272396088
44,1,20,783.7223482131958,158.54807198047638
45,0,4,491.8072137236595,176.90442502498627
45,0,8,426.4473697543144,89.13302421569824
45,0,12,363.5768401622772,90.07420390844345
45,0,16,343.51595252752304,111.20087653398514
45,0,20,321.2116238474846,155.41037917137146
45,1,4,681.2132975459099,165.17828404903412
45,1,8,715.5841600894928,121.0416778922081
45,1,12,729.7342479228973,123.28135967254639
45,1,16,754.4813865423203,124.27393347024918
45,1,20,785.247808098793,157.4551910161972
46,0,4,493.0565866827965,177.16138064861298
46,0,8,426.1053028702736,89.69313651323318
46,0,12,363.5075122117996,90.18656611442566
46,0,16,343.5574349761009,111.26895248889923
46,0,20,321.296119838953,154.99086678028107
46,1,4,680.9355774521828,164.4650399684906
46,1,8,715.5897945165634,119.73313987255096
46,1,12,729.815987944603,122.74284660816193
46,1,16,755.1255893707275,123.56007844209671
46,1,20,786.0264205932617,156.9523811340332
47,0,4,492.3570603132248,176.82550847530365
